id,name,address,city,state,zip,lat,lng,region,type,sheets,sharpening,food,livebarn,wifi,parking,locker_rooms,on_site_shops,price_public_skate,price_stick_puck,price_dropin,registration_label,registration_url,website,seating_type,viewing,accessible,spectator_notes,facebook_url,instagram_url,tiktok_url,photo_url,claimed,notes
1,Family Sports Center Ice Arena,"6901 S Peoria St, Centennial, CO 80112",Centennial,CO,80112,39.59169,-104.8491,Denver Metro,indoor,2,true,restaurant,true,,"Free surface lot, 300+ spaces",8,true,$8.50 district / $11 non-district (M-F days) | $8/$10 (Fri eve & weekends) | Children under 3 free | Check ssprd.org/Family-Sports-Ice-Schedule,Take-A-Shot: District $11 / Non-district $13 (M-F) | Drop-in Hockey 18+: $12/$13.50 | Reserve by calling (303) 708-9500,,Book Online,https://ssprd.finnlyconnect.com/schedule,https://www.ssprd.org/family-sports-center,,true,,"Avalanche Grill: Full restaurant & bar on-site with views of the ice. Full menu, beer & wine. Open during all sessions.",,,,,,"150,000 sq ft entertainment complex. Colorado Avalanche practice facility - sometimes fans can watch. Two NHL sheets. Also has mini golf, laser tag, climbing wall, bumper cars, arcade. Part of South Suburban Parks and Recreation District (SSPRD). | On-site shop: Family Sports Pro Shop"
2,The Broadmoor World Arena,"3185 Venetucci Blvd, Colorado Springs, CO 80906",Colorado Springs,CO,80906,38.78828,-104.79423,Colorado Springs,indoor,2,true,,,,Free lot adjacent to arena,10,true,$6 admission | $4 skate rental | Check broadmoorworldarena.com for current schedule,Pick-up hockey limited to 20 skaters + 3 goalies. Must be 18+. Sign up online (no phone reservations as of Jan 2026).,,,,https://www.broadmoorworldarena.com,,,,,,,,,,"8,000-seat main arena plus adjacent Ice Hall with two practice rinks: one NHL-size, one Olympic-size. Home to Colorado College Tigers. For Learn to Skate, Learn to Play Hockey, or Public Skate info, call Ice Hall Office at (719) 477-2178. | On-site shop: World Arena Pro Shop"
3,Colorado College - Ed Robson Arena,"14 E Cache La Poudre St, Colorado Springs, CO 80903",Colorado Springs,CO,80903,38.84611,-104.82238,Colorado Springs,indoor,1,true,concessions,,,"Campus parking lots, street parking",6,true,$10 adults / $5 kids,Check edrobsonarena.com for rates,,,,https://www.edrobsonarena.com,seats,true,,,,,,,,"3,400-seat arena opened Sept 2021. First on-campus home for CC Tigers in 83 years. 120,000+ sq ft. Public skating open to community. Transforms to 4,600-seat venue for concerts. Part of Colorado Springs City for Champions initiative. | On-site shop: CC Tiger Store"
4,Sertich Ice Center,"1705 E Pikes Peak Ave, Colorado Springs, CO 80909",Colorado Springs,CO,80909,38.83167,-104.79617,Colorado Springs,indoor,1,,concessions,,,Free city-owned lot,4,,Child (17 & under): $6 | Adult (18+): $7 | Skate rental: $4 | Group rate: $5/skater incl. rental (book ahead) | Heroes discount $8 (military/first responders) | Check coloradosprings.gove Jan 2025),Check website,,Book Online,https://sertich.finnlyconnect.com/schedule,https://coloradosprings.gov/Sertich,bleachers,true,,,,,,,,"35,000 sq ft facility built 1975 (renamed Sertich 1986). NHL regulation ice. 2,000-seat bleachers. Home to Pikes Peak Miners youth hockey. City of Colorado Springs Parks & Recreation. Email: sertichinfo@coloradosprings.gov. Price increases effective Jan 1, 2025."
5,Air Force Academy - Cadet Ice Arena,"2169 Field House Dr, Colorado Springs, CO 80840",Colorado Springs,CO,80840,39.01374,-104.88373,Colorado Springs,indoor,1,,concessions,true,,Campus parking with valid pass,4,true,N/A - limited public access,N/A,,,,https://goairforcefalcons.com/sports/2018/6/21/icerink,seats,true,,,,,,,,Home of the Air Force Falcons. Primarily used for AFA athletics. Limited public access - call ahead. | On-site shop: USAFA Pro Shop
6,Monument Ice Rinks,"16240 Old Denver Rd, Monument, CO 80132",Monument,CO,80132,39.06767,-104.8617,Colorado Springs,indoor,2,true,snackbar,true,true,Free surface lot,6,true,$7 adults / $5 kids,$7/session,,Book Online,https://monumentice.ezfacility.com/Sessions,https://www.monumenticerinks.com,,true,,"Monument Snack Bar: Typical tournament snack bar — chips, candy, hot chocolate, basic drinks. Counter service.",,,,,,Two NHL-sized sheets between Colorado Springs and Denver. Strong youth and adult hockey programs. | On-site shop: Monument Pro Shop
7,Stephen C. West Ice Arena,"0189 Boreas Pass Rd, Breckenridge, CO 80424",Breckenridge,CO,80424,39.47319,-106.04003,Mountain,indoor,2,true,concessions,true,,"Free lot, overflow on Boreas Pass Rd",3,true,Adults (18-59): $13 | Youth (17 & under): $10 | Seniors (60+): $10,Check breckenridgerecreation.com for current rates,,Book Online,https://breckenridgerecreation.com/register,https://www.breckenridgerecreation.com/rates/locations/stephen-c-west-ice-arena,,true,,,,,,,,"Summit County's only year-round indoor ice sports facility. Indoor + outdoor rinks. Full-service pro shop (CCM, Warrior, True, A&R). Local students get $10 admission + free skate rental with school ID. Also offers curling and broomball. | On-site shop: Stephen C. West Pro Shop"
8,Dobson Ice Arena,"321 E Lionshead Circle, Vail, CO 81657",Vail,CO,81657,39.64388,-106.38405,Mountain,indoor,1,true,concessions,,,Lionshead Parking Structure (fees apply). Validation available at Dobson front desk when open.,4,true,When open: Ages 4 & under $6 | Ages 5-12 $8 | Ages 13+ $10,When open: $10/session,,,,https://www.vailrec.com/dobson-arena,,true,,,,,,,,"⚠️ CURRENTLY CLOSED FOR EXTENSIVE RENOVATIONS. Check vailrec.com for reopening timeline. When open: 35,000 sq ft, largest multi-purpose rink on Western Slope. Year-round hockey, figure skating, broomball. Home to Vail Junior Hockey Club and Skating Club of Vail. While closed, Vail Mountaineers Hockey Club organizing ice time at alternative venues. | On-site shop: Dobson Skate Shop"
9,The Edge Ice Arena,"6623 S Ward St, Littleton, CO 80127",Littleton,CO,80127,39.59636,-105.13378,Denver Metro,indoor,2,true,restaurant,true,true,Large free surface lot,12,true,Adults: $8 | Youth (under 18): $5 | Check ifoothills.org for current rates,Check ifoothills.org for current rates,,Book Online,https://www.ifoothills.org/cal-edge/,https://www.ifoothills.org/edge-ice-arena/,,true,,Penalty Box Bar & Grill: Full sports bar & grill on-site. Great parent hangout with ice views. Open during all rink hours.,,,,,,"Part of Foothills Park and Recreation District. Two NHL-sized indoor rinks, 1250 total seating. Penalty Box sports bar & grill on main level. Broomball available (equipment provided). Contact: ahines@fhprd.org | On-site shop: Edge Pro Shop"
10,Foothills Ice Arena,"2250 S Kipling St, Lakewood, CO 80227",Lakewood,CO,80227,39.6757,-105.1088,Denver Metro,indoor,1,true,concessions,,,Free lot on-site,6,true,Check foothillsicearena.com or call (303) 986-4119 — Jefferson County resident discounts apply,Check website — drop-in sessions popular with adult beginners,,,,https://www.foothillsicearena.com,,true,,,,,,,,"Single NHL-sized sheet serving Lakewood and Jefferson County. Home of the Foothills Flyers youth hockey association (Littleton, Lakewood and surrounding areas). Strong adult league scene — one of the friendliest drop-in crowds in the Denver metro per community reviews. Website may be intermittent — call (303) 986-4119 to confirm schedule. | On-site shop: Foothills Skate Corner"
